color,director_name,actor_2_name,actor_1_name,movie_title,actor_3_name,title_year
Color,Christopher Nolan,Tom Hardy,Leonardo DiCaprio,Inception ,Joseph Gordon-Levitt,2010
Color,Hideaki Anno,Shin'ya Tsukamoto,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda,2016
Color,Peter Jackson,Adam Brown,Aidan Turner,The Hobbit: An Unexpected Journey ,James Nesbitt,2012
Color,Rob Cohen,Vin Diesel,Paul Walker,The Fast and the Furious ,Jordana Brewster,2001
Color,David Fincher,Jason Flemyng,Brad Pitt,The Curious Case of Benjamin Button ,Julia Ormond,2008
Color,Matthew Vaughn,Michael Fassbender,Jennifer Lawrence,X-Men: First Class ,Oliver Platt,2011
Color,Francis Lawrence,Philip Seymour Hoffman,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,Josh Hutcherson,2015
Color,Jon Turteltaub,Omar Benson Miller,Nicolas Cage,The Sorcerer's Apprentice ,Robert Capron,2010
Color,Wolfgang Petersen,Mike Vogel,Jimmy Bennett,Poseidon ,Andre Braugher,2006
Color,James Bobin,Alan Rickman,Johnny Depp,Alice Through the Looking Glass ,Anne Hathaway,2016
Color,Chris Miller,Eric Idle,Justin Timberlake,Shrek the Third ,Rupert Everett,2007
Color,Duncan Jones,Callum Rennie,Dominic Cooper,Warcraft ,Ruth Negga,2016
Color,Alan Taylor,Emilia Clarke,J.K. Simmons,Terminator Genisys ,Matt Smith,2015
Color,Michael Apted,Shane Rangi,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Laura Brent,2010
 Black and White,Michael Bay,Jaime King,Jennifer Garner,Pearl Harbor ,Mako,2001
Color,Michael Bay,Michael O'Neill,Zack Ward,Transformers ,Kevin Dunn,2007
Color,Oliver Stone,Angelina Jolie Pitt,Anthony Hopkins,Alexander ,Brian Blessed,2004
Color,David Yates,Daniel Radcliffe,Robert Pattinson,Harry Potter and the Order of the Phoenix ,Fiona Shaw,2007
Color,Mike Newell,Daniel Radcliffe,Robert Pattinson,Harry Potter and the Goblet of Fire ,Rupert Grint,2005
Color,Peter Berg,Charlize Theron,Will Smith,Hancock ,Eddie Marsan,2008
Color,Francis Lawrence,Alice Braga,Will Smith,I Am Legend ,Willow Smith,2007
Color,Tim Burton,Christopher Lee,Johnny Depp,Charlie and the Chocolate Factory ,David Kelly,2005
Color,Brad Bird,John Ratzenberger,Janeane Garofalo,Ratatouille ,Brian Dennehy,2007
Color,Christopher Nolan,Liam Neeson,Christian Bale,Batman Begins ,Morgan Freeman,2005
Color,Eric Darnell,Jada Pinkett Smith,Bernie Mac,Madagascar: Escape 2 Africa,Cedric the Entertainer,2008
Color,Shawn Levy,Rami Malek,Robin Williams,Night at the Museum: Battle of the Smithsonian ,Steve Coogan,2009
Color,Gavin Hood,Ryan Reynolds,Hugh Jackman,X-Men Origins: Wolverine ,Dominic Monaghan,2009
Color,Lana Wachowski,Collin Chou,Essie Davis,The Matrix Revolutions ,Nona Gaye,2003
Color,Chris Buck,Maurice LaMarche,Josh Gad,Frozen ,Livvy Stubenrauch,2013
Color,Lana Wachowski,Daniel Bernhardt,Steve Bastoni,The Matrix Reloaded ,Helmut Bakaitis,2003
Color,Alan Taylor,Natalie Portman,Chris Hemsworth,Thor: The Dark World ,Anthony Hopkins,2013
Color,George Miller,Charlize Theron,Tom Hardy,Mad Max: Fury Road ,Zoë Kravitz,2015
Color,Ron Howard,Ayelet Zurer,Tom Hanks,Angels & Demons ,Armin Mueller-Stahl,2009
Color,Kenneth Branagh,Natalie Portman,Chris Hemsworth,Thor ,Anthony Hopkins,2011
Color,Byron Howard,Diedrich Bader,Chloë Grace Moretz,Bolt ,James Lipton,2008
Color,Hoyt Yeatman,Piper Mackenzie Harris,Kelli Garner,G-Force ,Niecy Nash,2009
Color,Jonathan Liebesman,Edgar Ramírez,Liam Neeson,Wrath of the Titans ,Lily James,2012
Color,Tim Burton,Chloë Grace Moretz,Johnny Depp,Dark Shadows ,Christopher Lee,2012
Color,Christopher McQuarrie,Jeremy Renner,Tom Cruise,Mission: Impossible - Rogue Nation ,Sean Harris,2015
Color,Joe Johnston,Simon Merrells,Anthony Hopkins,The Wolfman ,Art Malik,2010
Color,David Yates,Alexander Skarsgård,Christoph Waltz,The Legend of Tarzan ,Casper Crump,2016
Color,Steve Hickner,Oprah Winfrey,Matthew Broderick,Bee Movie ,Rip Torn,2007
Color,Jennifer Yuh Nelson,Gary Oldman,Angelina Jolie Pitt,Kung Fu Panda 2,Mike Bell,2011
Color,M. Night Shyamalan,Noah Ringer,Seychelle Gabriel,The Last Airbender ,Aasif Mandvi,2010
Color,J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,Mission: Impossible III ,Eddie Marsan,2006
Color,Roland Emmerich,Jake Weber,Channing Tatum,White House Down ,Matt Craven,2013
Color,Simon Wells,Dan Fogler,Elisabeth Harnois,Mars Needs Moms ,Tom Everett Scott,2011
Color,David Bowers,Kate Winslet,Hugh Jackman,Flushed Away ,David Suchet,2006
Color,Joe Wright,Cara Delevingne,Hugh Jackman,Pan ,Nonso Anozie,2015
Color,Rob Minkoff,Zach Callison,Ty Burrell,Mr. Peabody & Sherman ,Karan Brar,2014
Color,Wolfgang Petersen,Orlando Bloom,Brad Pitt,Troy ,Julian Glover,2004
Color,Eric Darnell,Martin Short,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted,Cedric the Entertainer,2012
 Black and White,Lee Tamahori,Colin Salmon,Toby Stephens,Die Another Day ,Rick Yune,2002
Color,Paul Feig,Kate McKinnon,Ed Begley Jr.,Ghostbusters ,Zach Woods,2016
Color,Michael Bay,Steve Buscemi,Bruce Willis,Armageddon ,Will Patton,1998
Color,Barry Sonnenfeld,Rosario Dawson,Will Smith,Men in Black II ,Rip Torn,2002
Color,Robert Zemeckis,Anthony Hopkins,Robin Wright,Beowulf ,Sebastian Roché,2007
Color,Alessandro Carloni,Angelina Jolie Pitt,J.K. Simmons,Kung Fu Panda 3,Wayne Knight,2016
Color,Brad Bird,Jeremy Renner,Tom Cruise,Mission: Impossible - Ghost Protocol ,Michael Nyqvist,2011
Color,Peter Ramsey,Kamil McFadden,Hugh Jackman,Rise of the Guardians ,Khamani Griffin,2012
Color,Dean Parisot,Richard Burgi,John Michael Higgins,Fun with Dick and Jane ,David Herman,2005
Color,Edward Zwick,Tony Goldwyn,Tom Cruise,The Last Samurai ,Chad Lindberg,2003
Color,Ridley Scott,María Valverde,Christian Bale,Exodus: Gods and Kings ,Ben Mendelsohn,2014
Color,J.J. Abrams,Leonard Nimoy,Chris Hemsworth,Star Trek ,Bruce Greenwood,2009
Color,Sam Raimi,James Franco,J.K. Simmons,Spider-Man ,Kirsten Dunst,2002
Color,Dean DeBlois,Djimon Hounsou,Gerard Butler,How to Train Your Dragon 2,America Ferrera,2014
Color,Alex Proyas,Elodie Yung,Gerard Butler,Gods of Egypt ,Bryan Brown,2016
Color,Rob Cohen,Joe Morton,Sam Shepard,Stealth ,Richard Roxburgh,2005
Color,Zack Snyder,Billy Crudup,Matt Frewer,Watchmen ,Stephen McHattie,2009
Color,Richard Donner,Rene Russo,Jet Li,Lethal Weapon 4,Darlene Love,1998
Color,Ang Lee,Regi Davis,Kevin Rankin,Hulk ,Celia Weston,2003
Color,Jon M. Chu,Dwayne Johnson,Channing Tatum,G.I. Joe: Retaliation ,Elodie Yung,2013
Color,Breck Eisner,Rainn Wilson,Matthew McConaughey,Sahara ,Delroy Lindo,2005
Color,Hironobu Sakaguchi,Ming-Na Wen,Steve Buscemi,Final Fantasy: The Spirits Within ,Jean Simmons,2001
Color,Joe Johnston,Dominic Cooper,Chris Evans,Captain America: The First Avenger ,Hayley Atwell,2011
Color,Michael Apted,Maria Grazia Cucinotta,Colin Salmon,The World Is Not Enough ,Desmond Llewelyn,1999
Color,Peter Weir,Lee Ingleby,James D'Arcy,Master and Commander: The Far Side of the World ,David Threlfall,2003
Color,Bill Condon,Kristen Stewart,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2,Taylor Lautner,2012
Color,George Miller,Brad Pitt,Robin Williams,Happy Feet 2,Common,2011
Color,Louis Leterrier,Peter Mensah,Ty Burrell,The Incredible Hulk ,William Hurt,2008
Color,,Philip Michael Thomas,Don Johnson,Miami Vice             ,John Diehl,
Color,Steven Spielberg,Penelope Wilton,Mark Rylance,The BFG ,Rafe Spall,2016
Color,Alejandro G. Iñárritu,Tom Hardy,Leonardo DiCaprio,The Revenant ,Lukas Haas,2015
Color,David Soren,Snoop Dogg,Ryan Reynolds,Turbo ,Ben Schwartz,2013
Color,Gore Verbinski,Ray Winstone,Johnny Depp,Rango ,Stephen Root,2011
Color,Eric Darnell,Annet Mahendru,Benedict Cumberbatch,Penguins of Madagascar ,Andy Richter,2014
Color,Paul Greengrass,Edgar Ramírez,Matt Damon,The Bourne Ultimatum ,Albert Finney,2007
Color,Mark Osborne,Wayne Knight,Angelina Jolie Pitt,Kung Fu Panda ,Dan Fogler,2008
Color,Peyton Reed,Hayley Atwell,Judy Greer,Ant-Man ,T.I.,2015
Color,Francis Lawrence,Josh Hutcherson,Jennifer Lawrence,The Hunger Games: Catching Fire ,Sandra Ellis Lafferty,2013
Color,Bill Condon,Kristen Stewart,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2,Taylor Lautner,2012
Color,Tim Johnson,Matt Jones,Jim Parsons,Home ,April Winchell,2015
Color,Steven Spielberg,Lisa Ann Walter,Tom Cruise,War of the Worlds ,Rick Gonzalez,2005
Color,Michael Bay,Henry Rollins,Will Smith,Bad Boys II ,Jordi Mollà,2003
Color,Chris Miller,Constance Marie,Salma Hayek,Puss in Boots ,Amy Sedaris,2011
Color,Phillip Noyce,Andre Braugher,Angelina Jolie Pitt,Salt ,August Diehl,2010
Color,Darren Aronofsky,Emma Watson,Anthony Hopkins,Noah ,Logan Lerman,2014
Color,Steven Spielberg,Mackenzie Crook,Toby Jones,The Adventures of Tintin ,Tony Curran,2011
Color,Alfonso Cuarón,Gary Oldman,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,Rupert Grint,2004
Color,Baz Luhrmann,Bryan Brown,Essie Davis,Australia ,Eddie Baroo,2008
Color,M. Night Shyamalan,Zoë Kravitz,Will Smith,After Earth ,Glenn Morshower,2013
Color,Eric Leighton,D.B. Sweeney,Alfre Woodard,Dinosaur ,Della Reese,2000
Color,Matt Birch,Dave Legeno,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,Ralph Ineson,2011
Color,Shawn Levy,Rami Malek,Robin Williams,Night at the Museum: Secret of the Tomb ,Steve Coogan,2014
Color,Tom McGrath,Brad Pitt,J.K. Simmons,Megamind ,Will Ferrell,2010
Color,Chris Columbus,Fiona Shaw,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,Verne Troyer,2001
Color,Robert Schwentke,Jeff Bridges,Ryan Reynolds,R.I.P.D. ,Stephanie Szostak,2013
Color,Hideaki Anno,Shin'ya Tsukamoto,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda,2016
Color,Gore Verbinski,Orlando Bloom,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,Jack Davenport,2003
Color,Matt Birch,Toby Jones,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,Alfred Enoch,2010
Color,Francis Lawrence,Philip Seymour Hoffman,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1,Josh Hutcherson,2014
Color,Ron Howard,Seth Gabel,Tom Hanks,The Da Vinci Code ,Jürgen Prochnow,2006
Color,Carlos Saldanha,Rachel Crow,Miguel Ferrer,Rio 2,Jeffrey Garcia,2014
Color,Bryan Singer,Bruce Davison,Hugh Jackman,X-Men 2,Aaron Stanford,2003
Color,Justin Lin,Vin Diesel,Paul Walker,Fast Five ,Dwayne Johnson,2011
Color,Guy Ritchie,Eddie Marsan,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,Paul Anderson,2011
Color,Louis Leterrier,Jason Flemyng,Liam Neeson,Clash of the Titans ,Alexa Davalos,2010
Color,Paul Verhoeven,Rachel Ticotin,Ronny Cox,Total Recall ,Marshall Bell,1990
Color,John McTiernan,Vladimir Kulich,Tony Curran,The 13th Warrior,Clive Russell,1999
Color,Tony Gilroy,Scott Glenn,Jeremy Renner,The Bourne Legacy ,Stacy Keach,2012
Color,Joel Schumacher,Vivica A. Fox,Michael Gough,Batman & Robin ,John Glover,1997
Color,Ron Howard,T.J. Thyne,Clint Howard,How the Grinch Stole Christmas ,Molly Shannon,2000
Color,Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,The Day After Tomorrow ,Sela Ward,2004
Color,John Woo,Dougray Scott,Tom Cruise,Mission: Impossible II ,Richard Roxburgh,2000
Color,Wolfgang Petersen,Mary Elizabeth Mastrantonio,Karen Allen,The Perfect Storm ,Bob Gunton,2000
Color,Tim Story,Ioan Gruffudd,Chris Evans,Fantastic 4: Rise of the Silver Surfer,Andre Braugher,2007
Color,Ang Lee,Rafe Spall,Suraj Sharma,Life of Pi ,Tabu,2012
Color,Mark Steven Johnson,Matt Long,Nicolas Cage,Ghost Rider ,Peter Fonda,2007
Color,Paul Greengrass,Riz Ahmed,Matt Damon,Jason Bourne ,Ato Essandoh,2016
Color,McG,Bernie Mac,Demi Moore,Charlie's Angels: Full Throttle ,Justin Theroux,2003
Color,Ridley Scott,Charlize Theron,Michael Fassbender,Prometheus ,Sean Harris,2012
Color,Rob Minkoff,Brad Garrett,Nathan Lane,Stuart Little 2,Melanie Griffith,2002
Color,Neill Blomkamp,Sharlto Copley,Matt Damon,Elysium ,Alice Braga,2013
Color,David Twohy,Alexa Davalos,Vin Diesel,The Chronicles of Riddick ,Christina Cox,2004
Color,José Padilha,Abbie Cornish,Gary Oldman,RoboCop ,Jennifer Ehle,2014
Color,Lana Wachowski,Kick Gurry,Scott Porter,Speed Racer ,Nicholas Elia,2008
Color,James L. Brooks,Domenick Lombardozzi,Shelley Conn,How Do You Know ,Teyonah Parris,2010
Color,James Mangold,Marc Blucas,Tom Cruise,Knight and Day ,Jordi Mollà,2010
Color,Joseph Kosinski,Tom Cruise,Morgan Freeman,Oblivion ,Zoë Bell,2013
Color,George Lucas,Christopher Lee,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,Hayden Christensen,2005
Color,George Lucas,Christopher Lee,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,Hayden Christensen,2002
Color,Pete Docter,John Ratzenberger,Steve Buscemi,"Monsters, Inc. ",James Coburn,2001
Color,James Mangold,Tao Okamoto,Hugh Jackman,The Wolverine ,Rila Fukushima,2013
Color,George Lucas,Liam Neeson,Natalie Portman,Star Wars: Episode I - The Phantom Menace ,Ian McDiarmid,1999
Color,Kirk De Micco,Emma Stone,Ryan Reynolds,The Croods ,Nicolas Cage,2013
Color,Frédéric Forestier,Santiago Segura,Alain Delon,Asterix at the Olympic Games ,Vanessa Hessler,2008
Color,John Woo,Roger Willie,Nicolas Cage,Windtalkers ,Noah Emmerich,2002
Color,Cedric Nicolas-Troyan,Sam Claflin,Chris Hemsworth,The Huntsman: Winter's War ,Charlize Theron,2016
Color,Jonathan Liebesman,Danny Woodburn,Noel Fisher,Teenage Mutant Ninja Turtles ,Jeremy Howard,2014
Color,Alfonso Cuarón,Basher Savage,Phaldut Sharma,Gravity ,Amy Warren,2013
Color,Roger Donaldson,Grant Heslov,Jamie Renée Smith,Dante's Peak ,Tzi Ma,1997
Color,Dave Green,Noel Fisher,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,Brad Garrett,2016
Color,Josh Trank,Reg E. Cathey,Tim Blake Nelson,Fantastic Four ,Tim Heidecker,2015
Color,Shawn Levy,Rami Malek,Robin Williams,Night at the Museum ,Steve Coogan,2006
Color,Brad Peyton,Ioan Gruffudd,Dwayne Johnson,San Andreas ,Archie Panjabi,2015
Color,Roger Spottiswoode,Colin Salmon,Vincent Schiavelli,Tomorrow Never Dies ,Joe Don Baker,1997
Color,Roland Emmerich,Adam Baldwin,Heath Ledger,The Patriot ,Tom Wilkinson,2000
Color,Steven Soderbergh,Julia Roberts,Brad Pitt,Ocean's Twelve ,Mini Anden,2004
Color,Doug Liman,Angelina Jolie Pitt,Brad Pitt,Mr. & Mrs. Smith ,Stephanie March,2005
Color,Robert Schwentke,Theo James,Kate Winslet,Insurgent ,Mekhi Phifer,2015
 Black and White,Martin Scorsese,Adam Scott,Leonardo DiCaprio,The Aviator ,Frances Conroy,2004
Color,Rob Letterman,Catherine Tate,James Corden,Gulliver's Travels ,Olly Alexander,2010
Color,Michel Gondry,Tom Wilkinson,Christoph Waltz,The Green Hornet ,Chad L. Coleman,2011
Color,,Dirk Benedict,George Peppard,The A-Team             ,Dwight Schultz,
Color,Noam Murro,Sullivan Stapleton,Eva Green,300: Rise of an Empire,Peter Mensah,2014
Color,Raja Gosnell,Tim Gunn,Mahadeo Shivraj,The Smurfs ,Madison McKinley,2011
Color,Will Finn,Roseanne Barr,Steve Buscemi,Home on the Range ,G.W. Bailey,2004
Color,Robert Schwentke,Theo James,Naomi Watts,Allegiant ,Zoë Kravitz,2016
Color,Shawn Levy,Torey Michael Adkins,Hugh Jackman,Real Steel ,Olga Fonda,2011
Color,Raja Gosnell,Nancy O'Dell,Jacob Tremblay,The Smurfs 2,Vanessa Matsui,2013
Color,Jan de Bont,Temuera Morrison,Jason Patric,Speed 2: Cruise Control,Lois Chiles,1997
Color,Gavin Hood,Moises Arias,Harrison Ford,Ender's Game ,Aramis Knight,2013
Color,Len Wiseman,Jonathan Sadowski,Bruce Willis,Live Free or Die Hard ,Cyril Raffaelli,2007
Color,Peter Jackson,Orlando Bloom,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,Billy Boyd,2001
